Date,Avg Rainfall (mm),Avg Sunshine (hours),Country
01-09-2018,200.8,153.5,Colombia
01-10-2018,288.5,151.7,Colombia
01-11-2018,175.8,172.2,Colombia
01-12-2018,155.4,203.5,Colombia
01-01-2019,80.8,197.1,Colombia
01-02-2019,57.6,187.8,Colombia
01-03-2019,108.2,180.7,Colombia
01-04-2019,58.5,162.8,Colombia
01-05-2019,117.6,158.6,Colombia
01-06-2019,150.4,120.6,Colombia
01-07-2019,131.3,133.7,Colombia
01-08-2019,123.2,129.8,Colombia
01-09-2019,174.1,169.3,Colombia
01-10-2019,212.3,177.4,Colombia
01-11-2019,150.3,159.3,Colombia
01-12-2019,189.6,198.9,Colombia
01-01-2020,132.0,214.0,Colombia
01-02-2020,168.1,195.3,Colombia
01-03-2020,57.0,199.8,Colombia
01-04-2020,108.8,165.1,Colombia
01-05-2020,68.3,136.4,Colombia
01-06-2020,109.6,137.7,Colombia
01-07-2020,199.0,131.1,Colombia
01-08-2020,277.7,154.6,Colombia
01-09-2020,254.1,153.3,Colombia
01-10-2020,168.1,173.8,Colombia
01-11-2020,185.7,183.4,Colombia
01-12-2020,221.7,183.5,Colombia
01-01-2021,158.1,200.9,Colombia
01-02-2021,151.0,176.9,Colombia
01-03-2021,113.1,161.6,Colombia
01-04-2021,79.4,123.3,Colombia
01-05-2021,84.3,144.9,Colombia
01-06-2021,137.1,145.8,Colombia
01-07-2021,220.8,134.3,Colombia
01-08-2021,192.4,115.1,Colombia
01-09-2021,207.7,96.2,Colombia
01-10-2021,199.9,143.4,Colombia
01-11-2021,219.3,155.2,Colombia
01-12-2021,168.8,181.4,Colombia
01-01-2022,177.7,198.1,Colombia
01-02-2022,96.5,192.5,Colombia
01-03-2022,101.4,155.5,Colombia
01-04-2022,101.1,137.6,Colombia
01-05-2022,132.3,175.4,Colombia
01-06-2022,166.6,126.7,Colombia
01-07-2022,128.0,152.1,Colombia
01-08-2022,163.0,102.0,Colombia
01-09-2022,211.0,136.9,Colombia
01-10-2022,194.6,158.3,Colombia
01-11-2022,190.7,175.6,Colombia
01-12-2022,185.7,203.7,Colombia
01-01-2023,163.8,199.2,Colombia
01-02-2023,153.1,209.1,Colombia
01-03-2023,99.4,189.6,Colombia
01-04-2023,70.8,165.3,Colombia
01-05-2023,119.8,146.2,Colombia
01-06-2023,101.2,126.0,Colombia
01-07-2023,103.7,140.3,Colombia
01-08-2023,243.7,145.5,Colombia
01-09-2023,150.0,143.4,Colombia
01-10-2023,239.9,178.2,Colombia
01-11-2023,151.7,162.8,Colombia
01-12-2023,218.6,193.6,Colombia
